,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,nombre_colonia,municipio,nombre_municipio,sostenimiento,nivel,programa,hombres_1!,mujeres_1!,total_1!,hombres_2!,mujeres_2!,total_2!,hombres_3!,mujeres_3!,total_3!,hombres_4!,mujeres_4!,total_4!,hombres_5!,mujeres_5!,total_5!,hombres_6!,mujeres_6!,total_6!,hombres_total,mujeres_total,matricula_total,docentes,grupos,docenete_educacion_fisica,docente_actividades_artisticas,docente_actividades_tecnonologicas,docente_de_idiomas,personal_de_administrativo_y_servicios,director_con_grupo,director_sin_grupo,total_de_personal
11733,14DTV0516V,MATUTINO,GORDIANO GUZMAN,CONOCIDO,8,LA ALBERCA,0,85,TAMAZULA DE GORDIANO,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,3,1,4,1,2,3,3,3,6,0,0,0,0,0,0,0,0,0,7,6,13,2,3,0,0,0,0,0,1,0,2
11734,14DTV0517U,MATUTINO,MANUEL LOPEZ COTILLA,CONOCIDO,3,EL AGOSTADERO,0,65,PIHUAMO,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,5,1,6,4,2,6,3,2,5,0,0,0,0,0,0,0,0,0,12,5,17,3,3,0,0,0,0,0,1,0,3
11735,14DTV0518T,MATUTINO,EMILIANO ZAPATA,JOSEFA ORTIZ DE DOMINGUEZ 7,139,EL RAICERO,0,69,QUITUPAN,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,0,2,2,0,2,2,4,0,4,0,0,0,0,0,0,0,0,0,4,4,8,1,3,0,0,0,0,0,1,0,1
11736,14DTV0519S,MATUTINO,EMILIANO ZAPATA,CONOCIDO,38,YERBABUENA,0,86,TAPALPA,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,4,7,11,1,7,8,6,5,11,0,0,0,0,0,0,0,0,0,11,19,30,3,3,0,0,0,0,0,1,0,3
11737,14DTV0520H,MATUTINO,JOSEFA ORTIZ DE DOMINGUEZ,CONOCIDO,23,SAN RAFAEL,0,121,ZAPOTILTIC,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,9,4,13,3,4,7,7,8,15,0,0,0,0,0,0,0,0,0,19,16,35,3,3,0,0,0,0,1,1,0,4
11738,14DTV0521G,MATUTINO,SOR JUANA INES DE LA CRUZ,CONOCIDO,35,LA HUEVERA,0,59,MAZAMITLA,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,3,6,9,8,9,17,6,3,9,0,0,0,0,0,0,0,0,0,17,18,35,3,3,0,0,0,0,0,1,0,3
11739,14DTV0522F,CONTINUO (TIEMPO COMPLETO),CONGRESO DE CHILPANCINGO,CONOCIDO,132,MATAMOROS LOS HOYOS,0,53,LAGOS DE MORENO,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,13,11,24,8,7,15,6,7,13,0,0,0,0,0,0,0,0,0,27,25,52,3,3,0,0,0,0,0,1,0,3
11740,14DTV0523E,MATUTINO,XAPAWIYEME,CONOCIDO,244,LOS CORRALES (MESA DEL TIRADOR),0,19,BOLAOS,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,28,33,61,25,17,42,30,27,57,0,0,0,0,0,0,0,0,0,83,77,160,6,6,0,0,0,0,2,1,0,8
11741,14DTV0524D,MATUTINO,AGUSTIN CARRILLO SANDOVAL,CONOCIDO,140,NUEVA COLONIA,0,61,MEZQUITIC,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,15,9,24,20,9,29,12,6,18,0,0,0,0,0,0,0,0,0,47,24,71,3,3,0,0,0,0,0,1,0,3
11742,14DTV0525C,MATUTINO,TATUTSI KWIXU XURE,CONOCIDO,486,SAN LUISITO,0,61,MEZQUITIC,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,7,15,22,15,10,25,11,11,22,0,0,0,0,0,0,0,0,0,33,36,69,3,3,0,0,0,0,0,1,0,3
