,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,nombre_colonia,municipio,nombre_municipio,sostenimiento,nivel,programa,hombres_1!,mujeres_1!,total_1!,hombres_2!,mujeres_2!,total_2!,hombres_3!,mujeres_3!,total_3!,hombres_4!,mujeres_4!,total_4!,hombres_5!,mujeres_5!,total_5!,hombres_6!,mujeres_6!,total_6!,hombres_total,mujeres_total,matricula_total,docentes,grupos,docenete_educacion_fisica,docente_actividades_artisticas,docente_actividades_tecnonologicas,docente_de_idiomas,personal_de_administrativo_y_servicios,director_con_grupo,director_sin_grupo,total_de_personal
1456,14DJN1563X,VESPERTINO,MARIA YOLANDA CASTILLERO DE ROMERO,LICENCIADO JOSE LUIS RAZO ZARAGOZA 10,1,LA BARCA,0,18,LA BARCA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,22,17,39,21,13,34,0,0,0,0,0,0,0,0,0,43,30,73,3,3,0,0,0,0,0,1,0,3
1457,14PJN0860V,MATUTINO,JUANA DE ARCO,LAZARO CARDENAS 320,1,PONCITLAN,PATRIA,66,PONCITLAN,PARTICULAR,PREESCOLAR,GENERAL,0,0,0,7,1,8,13,11,24,0,0,0,0,0,0,0,0,0,20,12,32,2,2,1,0,0,0,1,0,1,5
1458,14DJN1579Y,VESPERTINO,VALENTIN GOMEZ FARIAS,ATENAS 199,1,PONCITLAN,0,66,PONCITLAN,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,10,13,23,14,21,35,0,0,0,0,0,0,0,0,0,24,34,58,3,3,1,0,0,0,0,1,0,4
1459,14DJN1568S,MATUTINO,MARIA MONTESSORI,SANTUARIO,19,MEZCALA,0,66,PONCITLAN,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,13,18,31,16,15,31,0,0,0,0,0,0,0,0,0,29,33,62,2,2,0,0,0,0,0,1,0,2
1460,14PJN0863S,MATUTINO,MARIA MONTESSORI,LOPEZ COTILLA 266,1,CHAPALA,0,30,CHAPALA,PARTICULAR,PREESCOLAR,GENERAL,10,8,18,9,15,24,12,16,28,0,0,0,0,0,0,0,0,0,31,39,70,3,3,1,1,0,3,1,0,1,10
1461,14PJN0980H,MATUTINO,AUGUS FROEBEL,IGNACIO COMONFORT 298,1,CIUDAD GUZMAN,MAGISTERIAL,23,ZAPOTLAN EL GRANDE,PARTICULAR,PREESCOLAR,GENERAL,1,3,4,6,12,18,9,5,14,0,0,0,0,0,0,0,0,0,16,20,36,3,3,0,0,0,1,2,0,1,7
1462,14OJN0515M,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL 2,JESUS REYES HEROLES,1,GUADALAJARA,VILLA VICENTE GUERRERO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,11,10,21,13,12,25,10,9,19,0,0,0,0,0,0,0,0,0,34,31,65,3,3,1,0,0,0,3,0,1,8
1463,14OJN0523V,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL 3,JARDINES DE LA GRANJA 3650 A,1,GUADALAJARA,JARDINES DE SAN FRANCISCO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,7,5,12,10,11,21,8,11,19,0,0,0,0,0,0,0,0,0,25,27,52,3,3,0,0,0,0,1,0,1,5
1464,14OJN0525T,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL 5,CLEMENTE OROZCO 580,1,GUADALAJARA,SANTA TERESITA,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,1,6,7,4,13,17,11,10,21,0,0,0,0,0,0,0,0,0,16,29,45,3,3,0,0,0,0,10,0,1,14
1465,14OJN0530E,MATUTINO,CENTRO DE DESARROLLO INFANTIL 11,FIDEL VELAZQUEZ,1,GUADALAJARA,VILLAS DE SAN JUAN,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,7,11,18,12,11,23,12,13,25,0,0,0,0,0,0,0,0,0,31,35,66,3,3,0,0,0,0,4,0,1,8
1466,14OJN0531D,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL PABLO CASALS,RAMON CORONA 220,1,ZAPOPAN,ATEMAJAC DEL VALLE,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,12,10,22,12,12,24,14,14,28,0,0,0,0,0,0,0,0,0,38,36,74,3,3,0,0,0,0,4,0,1,8
1467,14OJN0535Z,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL DOCTORA IRENE ROBLEDO GARCIA,AVENIDA LAURELES,1,ZAPOPAN,UNIDAD ESTATUTO JURIDICO,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,9,12,21,12,13,25,18,5,23,0,0,0,0,0,0,0,0,0,39,30,69,3,3,0,0,0,0,10,0,1,14
1468,14OJN0536Z,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL MELVIN JONES,TULUM 4560,1,ZAPOPAN,JARDINES DEL SOL,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,4,6,10,7,8,15,5,9,14,0,0,0,0,0,0,0,0,0,16,23,39,3,3,0,0,0,0,3,0,1,7
1469,14OJN0538X,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL COLLI,VOLCAN DEL FUEGO 2545,1,ZAPOPAN,EL COLLI,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,0,9,9,4,5,9,10,13,23,0,0,0,0,0,0,0,0,0,14,27,41,3,3,0,0,0,0,3,0,1,7
1470,14OJN0560Z,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL CRI CRI,PLAYA DE HORNOS 1149,1,ZAPOPAN,RESIDENCIAL MOCTEZUMA PONIENTE,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,6,4,10,13,6,19,9,5,14,0,0,0,0,0,0,0,0,0,28,15,43,3,3,0,0,0,0,0,0,1,4
1471,14OJN0563W,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL SANTA ANA TEPETITLAN,MORELOS 80,1,ZAPOPAN,SANTA ANA TEPETITLAN,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,6,8,14,13,7,20,14,8,22,0,0,0,0,0,0,0,0,0,33,23,56,3,3,0,0,0,0,3,0,1,7
1472,14OJN0579X,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL VILLAS DE GUADALUPE,PIO V ENRIQUEZ 101,1,ZAPOPAN,VILLA DE GUADALUPE,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,8,6,14,14,10,24,3,7,10,0,0,0,0,0,0,0,0,0,25,23,48,3,3,0,0,0,0,7,0,1,11
1473,14OJN0580M,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 1,BELISARIO DOMINGUEZ 2635,1,GUADALAJARA,ESPERANZA,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,28,32,60,38,31,69,0,0,0,0,0,0,0,0,0,66,63,129,5,5,1,0,0,0,6,0,1,13
1474,14OJN0591S,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 2,JAVIER MINA 3435,1,GUADALAJARA,LA AURORA,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,38,22,60,28,32,60,0,0,0,0,0,0,0,0,0,66,54,120,4,4,1,0,0,0,3,0,1,9
1475,14OJN0595O,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 3,SAN IDELFONSO 1431,1,GUADALAJARA,SANTA MARIA,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,45,47,92,56,60,116,0,0,0,0,0,0,0,0,0,101,107,208,8,8,1,0,0,0,9,0,1,19
1476,14OJN0604F,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 4,CALZADA DEL OBRERO,1,GUADALAJARA,TALPITA,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,27,23,50,27,43,70,0,0,0,0,0,0,0,0,0,54,66,120,5,5,1,0,0,0,1,0,1,8
1477,14OJN0606D,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 5,ABRAHAM GONZALEZ 818,1,GUADALAJARA,SAN ISIDRO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,35,29,64,33,30,63,0,0,0,0,0,0,0,0,0,68,59,127,5,5,1,0,0,0,4,0,1,11
1478,14OJN0615L,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 6,ALDAMA 2570,1,GUADALAJARA,SAN ANDRES,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,31,29,60,34,26,60,0,0,0,0,0,0,0,0,0,65,55,120,4,4,0,0,0,0,7,0,1,12
1479,14OJN0654N,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 7,MOTA PADILLA 198,1,GUADALAJARA,LA LOMA,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,29,34,63,42,38,80,0,0,0,0,0,0,0,0,0,71,72,143,5,5,1,0,0,0,6,0,1,13
1480,14OJN0662W,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 8,CALZADA INDEPENDENCIA 4085,1,GUADALAJARA,HUENTITAN EL BAJO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,10,14,24,20,23,43,0,0,0,0,0,0,0,0,0,30,37,67,4,4,1,0,0,0,5,0,1,11
1481,14OJN0666S,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 9,SAN SALVADOR 1983,1,GUADALAJARA,DEL SUR,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,29,28,57,20,30,50,0,0,0,0,0,0,0,0,0,49,58,107,4,4,1,0,0,0,3,1,0,8
1482,14OJN0674A,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 10,JOSE GOMEZ UGARTE,1,GUADALAJARA,HUENTITAN EL ALTO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,15,16,31,27,26,53,0,0,0,0,0,0,0,0,0,42,42,84,3,3,0,0,0,0,2,0,1,6
1483,14OJN0674A,VESPERTINO,CENTRO DE DESARROLLO COMUNITARIO 10,JOSE GOMEZ UGARTE,1,GUADALAJARA,HUENTITAN EL ALTO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,28,22,50,16,12,28,0,0,0,0,0,0,0,0,0,44,34,78,3,3,1,0,0,0,5,0,1,10
1484,14OJN0675Z,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 11,RAMON ALCORTA 1601,1,GUADALAJARA,LOMAS DE POLANCO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,29,24,53,13,15,28,0,0,0,0,0,0,0,0,0,42,39,81,3,3,1,0,0,0,5,0,1,10
1485,14OJN0689C,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 12,LITORAL 3028,1,GUADALAJARA,SANTA EDUVIGES,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,10,8,18,8,10,18,0,0,0,0,0,0,0,0,0,18,18,36,2,2,1,0,0,1,3,0,1,8
1486,14OJN0712N,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 13,MARIA REYES 4262,1,GUADALAJARA,TETLAN,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,18,41,59,23,32,55,0,0,0,0,0,0,0,0,0,41,73,114,4,4,1,0,0,0,2,0,1,8
1487,14OJN0728O,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 14,PEDRO F RIVAS 1234,1,GUADALAJARA,LOMAS DEL GALLO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,27,34,61,24,32,56,0,0,0,0,0,0,0,0,0,51,66,117,4,4,1,0,0,0,4,0,1,10
1488,14OJN0728O,VESPERTINO,CENTRO DE DESARROLLO COMUNITARIO 14,PEDRO F RIVAS 1234,1,GUADALAJARA,LOMAS DEL GALLO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,15,16,31,12,12,24,0,0,0,0,0,0,0,0,0,27,28,55,2,2,1,0,0,0,2,0,1,6
1489,14OJN0748B,VESPERTINO,CENTRO DE DESARROLLO COMUNITARIO 15,ENRIQUE OSORNIO 2658,1,GUADALAJARA,EL CARMEN,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,13,10,23,10,28,38,0,0,0,0,0,0,0,0,0,23,38,61,3,3,1,0,0,0,4,1,0,8
1490,14OJN0748B,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 15,ENRIQUE OSORNIO 2658,1,GUADALAJARA,EL CARMEN,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,28,29,57,10,23,33,0,0,0,0,0,0,0,0,0,38,52,90,3,3,1,0,0,0,4,1,0,8
1491,14OJN0757J,VESPERTINO,CENTRO DE DESARROLLO COMUNITARIO 16,ISAAC ALBENIZ 3251,1,GUADALAJARA,SAN ANDRES,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,6,10,16,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,1,1,0,0,0,0,4,0,1,6
1492,14OJN0757J,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 16,ISAAC ALBENIZ 3251,1,GUADALAJARA,SAN ANDRES,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,35,26,61,42,41,83,0,0,0,0,0,0,0,0,0,77,67,144,5,5,0,0,0,0,4,0,1,10
1493,14OJN0760X,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 17,CALLE 10 1963,1,GUADALAJARA,FERROCARRIL,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,26,16,42,13,13,26,0,0,0,0,0,0,0,0,0,39,29,68,3,3,1,0,0,0,6,0,1,11
1494,14OJN0762V,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 18,ALVARO OBREGON,1,GUADALAJARA,LA PAZ,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,26,26,52,10,17,27,0,0,0,0,0,0,0,0,0,36,43,79,3,3,0,0,0,0,3,0,1,7
1495,14OJN0762V,VESPERTINO,CENTRO DE DESARROLLO COMUNITARIO 18,ALVARO OBREGON,1,GUADALAJARA,LA PAZ,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,0,0,0,10,8,18,0,0,0,0,0,0,0,0,0,10,8,18,1,1,0,0,0,0,3,0,1,5
1496,14OJN0763U,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 19,DURAZNO 1438,1,GUADALAJARA,FRESNO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,31,28,59,38,25,63,0,0,0,0,0,0,0,0,0,69,53,122,4,4,1,0,0,0,7,0,1,13
1497,14OJN0768P,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 20,PITAGORAS 195,1,GUADALAJARA,AGUSTIN YAEZ,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,12,19,31,28,29,57,0,0,0,0,0,0,0,0,0,40,48,88,3,3,1,0,0,0,4,0,1,9
1498,14OJN0770D,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 24,TERUEL 2826,1,GUADALAJARA,SANTA ELENA DE LA CRUZ,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,17,13,30,25,26,51,0,0,0,0,0,0,0,0,0,42,39,81,3,3,1,1,0,0,5,0,1,11
1499,14OJN0772B,MATUTINO,CENTRO DE DESARROLLO COMUNITARIO 27,PRIMERO DE OCTUBRE 4750,1,GUADALAJARA,LOS COLORINES,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,15,16,31,32,29,61,0,0,0,0,0,0,0,0,0,47,45,92,3,3,1,0,0,0,3,1,0,7
1500,14OJN0772B,VESPERTINO,CENTRO DE DESARROLLO COMUNITARIO 27,PRIMERO DE OCTUBRE 4750,1,GUADALAJARA,LOS COLORINES,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,25,32,57,0,0,0,0,0,0,0,0,0,0,0,0,25,32,57,2,2,1,0,0,0,3,1,0,6
1501,14OJN0773A,MATUTINO,CAIC VILLA VICENTE GUERRERO,JESUS REYES HEROLES,1,GUADALAJARA,VILLA VICENTE GUERRERO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,22,26,48,25,31,56,0,0,0,0,0,0,0,0,0,47,57,104,5,5,1,0,0,0,0,0,1,7
1502,14OJN0774Z,MATUTINO,CAIC LA PAZ HORNOS,CAPORALES,1,GUADALAJARA,LA PAZ,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,11,11,22,19,10,29,0,0,0,0,0,0,0,0,0,30,21,51,2,2,1,0,0,0,1,0,1,5
1503,14OJN0796L,MATUTINO,CAIC LAGOS DE ORIENTE,PRESA EL CUARENTA,1,GUADALAJARA,LAGOS ORIENTE,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,13,13,26,13,14,27,0,0,0,0,0,0,0,0,0,26,27,53,2,2,1,0,0,0,1,0,1,5
1504,14OJN0807A,MATUTINO,CAIC SANTA CECILIA,PASEO DE LA SELVA,1,GUADALAJARA,SANTA CECILIA,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,45,23,68,18,13,31,0,0,0,0,0,0,0,0,0,63,36,99,3,3,1,0,0,0,2,0,1,7
1505,14OJN0810O,MATUTINO,CAIC LOMAS DEL PARAISO,JOSE MIGUEL ARROYO,1,GUADALAJARA,LOMAS DEL PARAISO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,14,14,28,14,15,29,0,0,0,0,0,0,0,0,0,28,29,57,2,2,0,0,0,0,1,0,1,4
1506,14OJN0810O,VESPERTINO,CAIC LOMAS DEL PARAISO,JOSE MIGUEL ARROYO,1,GUADALAJARA,LOMAS DEL PARAISO,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,18,9,27,11,18,29,0,0,0,0,0,0,0,0,0,29,27,56,2,2,0,0,0,0,0,0,1,3
1507,14OJN0814K,MATUTINO,CAIC OBLATOS,HACIENDA LA HERRADURA,1,GUADALAJARA,OBLATOS,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,0,0,0,9,11,20,12,10,22,0,0,0,0,0,0,0,0,0,21,21,42,2,2,1,0,0,0,1,0,1,5
1508,14OJN0815J,MATUTINO,CENTRO DE DESARROLLO INFANTIL 12,PATRIA 3118,1,GUADALAJARA,JARDINES DEL SAUZ,39,GUADALAJARA,ESTATAL,PREESCOLAR,GENERAL,5,8,13,11,9,20,9,11,20,0,0,0,0,0,0,0,0,0,25,28,53,3,3,0,0,0,0,9,0,1,13
1509,14OJN0833Z,DISCONTINUO,CAIC SAN ANTONIO TLAYACAPAN,RAMON CORONA,2,AJIJIC,SAN ANTONIO TLAYACAPAN,30,CHAPALA,ESTATAL,PREESCOLAR,GENERAL,4,5,9,8,8,16,7,4,11,0,0,0,0,0,0,0,0,0,19,17,36,4,4,0,0,0,0,1,1,0,5
1510,14OJN0841H,DISCONTINUO,CAIC TIZAPAN EL ALTO,AQUILES SERDAN 30,1,TIZAPAN EL ALTO,TIZAPAN EL ALTO (ZONA CENTRO),96,TIZAPAN EL ALTO,ESTATAL,PREESCOLAR,GENERAL,6,6,12,4,10,14,9,7,16,0,0,0,0,0,0,0,0,0,19,23,42,3,3,0,0,0,0,2,1,0,5
1511,14OJN0961U,DISCONTINUO,CAIC TALA,SIMON BOLIVAR 122,1,TALA,TALA (ZONA CENTRO),83,TALA,ESTATAL,PREESCOLAR,GENERAL,7,8,15,11,16,27,12,10,22,0,0,0,0,0,0,0,0,0,30,34,64,3,3,0,0,0,0,6,0,1,10
1512,14OJN1028B,DISCONTINUO,BARRA DE NAVIDAD,FRANCISCO VILLA 14,1,CIHUATLAN,CIHUATLAN (ZONA CENTRO),22,CIHUATLAN,ESTATAL,PREESCOLAR,GENERAL,6,9,15,8,8,16,8,10,18,0,0,0,0,0,0,0,0,0,22,27,49,3,3,0,0,0,0,2,0,1,6
1513,14OJN1029A,DISCONTINUO,CAIC VILLA OBREGON,VICENTE GUERRERO 21,33,SAN PATRICIO (MELAQUE),VILLA OBREGON,22,CIHUATLAN,ESTATAL,PREESCOLAR,GENERAL,7,10,17,5,11,16,1,8,9,0,0,0,0,0,0,0,0,0,13,29,42,3,3,0,0,0,0,2,0,1,6
1514,14OJN1030Q,DISCONTINUO,CAIC CIHUATLAN,CORREGIDORA 8,1,CIHUATLAN,CIHUATLAN (ZONA CENTRO),22,CIHUATLAN,ESTATAL,PREESCOLAR,GENERAL,8,7,15,11,6,17,8,12,20,0,0,0,0,0,0,0,0,0,27,25,52,3,3,0,0,0,0,2,0,1,6
1515,14OJN1031P,DISCONTINUO,CAIC LOMA BONITA,LOMA SOLA 48,1,TONALA,LOMA BONITA,101,TONALA,ESTATAL,PREESCOLAR,GENERAL,4,5,9,9,6,15,8,7,15,0,0,0,0,0,0,0,0,0,21,18,39,3,3,0,0,0,0,1,1,0,4
1516,14OJN1032O,DISCONTINUO,CAIC LOMA DORADA,LOMA PERIBAN ORIENTE 395,1,TONALA,LOMA DORADA,101,TONALA,ESTATAL,PREESCOLAR,GENERAL,6,6,12,6,9,15,7,6,13,0,0,0,0,0,0,0,0,0,19,21,40,3,3,0,0,0,0,2,1,0,5
1517,14OJN1033N,DISCONTINUO,CAIC LA CONCHA,PROLONGACION JUAN DE DIOS ROBLEDO 438,1,TONALA,LA CONCHA,101,TONALA,ESTATAL,PREESCOLAR,GENERAL,3,7,10,9,7,16,5,10,15,0,0,0,0,0,0,0,0,0,17,24,41,3,3,0,0,0,0,2,1,0,5
1518,14OJN1034M,DISCONTINUO,CAIC LA LADRILLERA,BENITO JUAREZ,1,TONALA,LADRILLERA DE LA CUEVA,101,TONALA,ESTATAL,PREESCOLAR,GENERAL,1,2,3,6,6,12,2,1,3,0,0,0,0,0,0,0,0,0,9,9,18,2,2,0,0,0,0,1,1,0,3
1519,14OJN1035L,DISCONTINUO,CAIC CASIMIRO CASTILLO,JOSE MARIA MERCADO 42,1,LA RESOLANA,LA RESOLANA (ZONA CENTRO),21,CASIMIRO CASTILLO,ESTATAL,PREESCOLAR,GENERAL,4,6,10,7,7,14,5,3,8,0,0,0,0,0,0,0,0,0,16,16,32,3,3,0,0,0,0,1,1,0,4
1520,14OJN1036K,DISCONTINUO,CAIC SAN JULIAN,JESUS ALDRETE 3,1,SAN JULIAN,SAN JULIAN (ZONA CENTRO),74,SAN JULIAN,ESTATAL,PREESCOLAR,GENERAL,7,7,14,5,15,20,9,10,19,0,0,0,0,0,0,0,0,0,21,32,53,3,3,0,0,0,0,2,1,0,5
1521,14OJN1037J,DISCONTINUO,CAIC TOLUQUILLA,GONZALEZ GALLO 50,1,TLAQUEPAQUE,TOLUQUILLA,98,SAN PEDRO TLAQUEPAQUE,ESTATAL,PREESCOLAR,GENERAL,7,7,14,7,7,14,5,6,11,0,0,0,0,0,0,0,0,0,19,20,39,3,3,0,0,0,0,2,1,0,5
1522,14OJN1038I,DISCONTINUO,CAIC LA HIGUERA,TABACHIN 1393,1,ZAPOPAN,LAS HIGUERAS,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,5,4,9,9,7,16,8,6,14,0,0,0,0,0,0,0,0,0,22,17,39,3,3,0,0,0,0,2,0,1,6
1523,14OJN1039H,DISCONTINUO,CAIC LA CORONILLA,RAMON LOPEZ VELARDE 1680,1,ZAPOPAN,LA CORONILLA,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,3,8,11,8,7,15,9,6,15,0,0,0,0,0,0,0,0,0,20,21,41,3,3,0,0,0,0,2,0,1,6
1524,14OJN1040X,DISCONTINUO,CAIC MIRAMAR,PUERTO TAMPICO 1224,1,ZAPOPAN,MIRAMAR,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,3,12,15,8,8,16,11,5,16,0,0,0,0,0,0,0,0,0,22,25,47,3,3,0,0,0,0,3,0,1,7
1525,14OJN1042V,DISCONTINUO,CAIC COTOS JARDINADOS DE SANTA ANA TEPETITLAN,NIOS HEROES 1178,1,ZAPOPAN,SANTA ANA TEPETITLAN,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,6,9,15,10,6,16,9,6,15,0,0,0,0,0,0,0,0,0,25,21,46,2,2,0,0,0,0,2,0,1,5
1526,14OJN1043U,DISCONTINUO,CAIC NUEVA SANTA MARIA,SAN ISIDRO,1,TLAQUEPAQUE,NUEVA SANTA MARIA,98,SAN PEDRO TLAQUEPAQUE,ESTATAL,PREESCOLAR,GENERAL,5,4,9,14,11,25,10,17,27,0,0,0,0,0,0,0,0,0,29,32,61,3,3,0,0,0,0,2,0,1,6
1527,14OJN1044T,DISCONTINUO,CAIC PRADOS TLAQUEPAQUE,INGENIERO TELLO,1,TLAQUEPAQUE,PRADOS TLAQUEPAQUE,98,SAN PEDRO TLAQUEPAQUE,ESTATAL,PREESCOLAR,GENERAL,5,5,10,12,8,20,18,10,28,0,0,0,0,0,0,0,0,0,35,23,58,3,3,0,0,0,0,2,0,1,6
1528,14OJN1045S,DISCONTINUO,CAIC PARQUES DE SANTA MARIA,BAHIA PELICANOS,1,TLAQUEPAQUE,0,98,SAN PEDRO TLAQUEPAQUE,ESTATAL,PREESCOLAR,GENERAL,5,3,8,10,4,14,11,4,15,0,0,0,0,0,0,0,0,0,26,11,37,3,3,0,0,0,0,1,0,1,5
1529,14OJN1046R,DISCONTINUO,CAIC COLONIAL TLAQUEPAQUE,EMILIO CARRANZA,1,TLAQUEPAQUE,COLONIAL TLAQUEPAQUE,98,SAN PEDRO TLAQUEPAQUE,ESTATAL,PREESCOLAR,GENERAL,10,10,20,20,18,38,9,11,20,0,0,0,0,0,0,0,0,0,39,39,78,4,4,1,0,0,0,3,0,1,9
1530,14OJN1047Q,DISCONTINUO,CAIC LAS HUERTAS,ENRIQUE ALVAREZ DEL CASTILLO,1,TLAQUEPAQUE,LAS HUERTAS,98,SAN PEDRO TLAQUEPAQUE,ESTATAL,PREESCOLAR,GENERAL,0,0,0,7,10,17,16,13,29,0,0,0,0,0,0,0,0,0,23,23,46,2,2,0,0,0,0,1,0,1,4
1531,14OJN1048P,DISCONTINUO,CAIC HEROES NACIONALES,ANACLETO GONZALEZ FLORES,1,ZAPOPAN,DEL FRESNO,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,0,0,0,15,14,29,16,14,30,0,0,0,0,0,0,0,0,0,31,28,59,2,2,1,0,0,0,2,0,1,6
1532,14OJN1051C,DISCONTINUO,CENTRO ASISTENCIAL DE DESARROLLO ANGEL GUARDIAN,ESPIRIDION MORENO 598,1,CIUDAD GUZMAN,CONSTITUYENTES,23,ZAPOTLAN EL GRANDE,ESTATAL,PREESCOLAR,GENERAL,5,10,15,2,16,18,6,9,15,0,0,0,0,0,0,0,0,0,13,35,48,3,3,0,0,0,0,6,0,1,10
1533,14OJN1054Z,DISCONTINUO,CADI SOR JUANA INES DE LA CRUZ,JUAREZ 335,1,TEOCALTICHE,JUAREZ,91,TEOCALTICHE,ESTATAL,PREESCOLAR,GENERAL,14,4,18,13,13,26,16,28,44,0,0,0,0,0,0,0,0,0,43,45,88,4,4,0,0,0,0,5,0,1,10
1534,14OJN1056Y,DISCONTINUO,CENTRO DE DESARROLLO INFANTIL CARMEN ARCE ZUNO,ANAHUAC 51,1,ZAPOPAN,0,120,ZAPOPAN,ESTATAL,PREESCOLAR,GENERAL,7,6,13,7,6,13,4,13,17,0,0,0,0,0,0,0,0,0,18,25,43,3,3,0,0,0,0,3,0,1,7
